iter	Logloss
0	0.6790820757
1	0.6657594213
2	0.6543576071
3	0.6444218771
4	0.6329162255
5	0.6221862342
6	0.610758244
7	0.6009202932
8	0.5915528297
9	0.5844889665
10	0.5774757736
11	0.5699803085
12	0.5634173858
13	0.5535251573
14	0.5457228842
15	0.5388174828
16	0.531940415
17	0.5259541281
18	0.5191737683
19	0.5114243135
20	0.5059065494
21	0.4992770425
22	0.4947406961
23	0.4895671891
24	0.4847573485
25	0.479151077
26	0.47367759
27	0.4680065025
28	0.4647171085
29	0.459910093
30	0.4565033686
31	0.4514406947
32	0.4469668091
33	0.4425511948
34	0.4385741599
35	0.4347713128
36	0.4310281614
37	0.426774345
38	0.4222576468
39	0.4193060144
40	0.415733549
41	0.4122833153
42	0.4084695902
43	0.4053540449
44	0.4019185788
45	0.3987413799
46	0.3964484194
47	0.3937907641
48	0.3913188704
49	0.3887398193
50	0.3856903908
51	0.382969319
52	0.3806673234
53	0.377755973
54	0.3750440991
55	0.372365624
56	0.3695636379
57	0.3674307942
58	0.3650823726
59	0.3629557828
60	0.3608896469
61	0.3582844548
62	0.3559389781
63	0.3535432276
64	0.3513556727
65	0.3494127896
66	0.3473689153
67	0.3452390161
68	0.3434878473
69	0.3419019479
70	0.3399266599
71	0.3379170566
72	0.3359191956
73	0.3342766402
74	0.3324033563
75	0.3309135696
76	0.329707489
77	0.3279629769
78	0.3263955001
79	0.3248721702
80	0.3235119737
81	0.3221632702
82	0.3205363407
83	0.3183704169
84	0.3170875628
85	0.3154152715
86	0.3138762256
87	0.3121863907
88	0.3106719759
89	0.3092568572
90	0.3082371956
91	0.3066811356
92	0.3046951834
93	0.3030680933
94	0.3018113261
95	0.3002144817
96	0.2984009224
97	0.29731695
98	0.2956048054
99	0.2945706754
