iter	Passed	Remaining
0	155	38738
1	160	19870
2	163	13462
3	166	10244
4	167	8215
5	170	6930
6	173	6014
7	176	5324
8	179	4809
9	183	4393
10	186	4044
11	190	3770
12	194	3541
13	197	3331
14	200	3147
15	204	2987
16	207	2839
17	210	2717
18	213	2596
19	218	2513
20	221	2416
21	222	2308
22	225	2227
23	226	2135
24	229	2064
25	233	2008
26	237	1961
27	240	1905
28	243	1852
29	246	1807
30	249	1761
31	254	1731
32	256	1688
33	260	1652
34	263	1618
35	268	1596
36	271	1563
37	274	1529
38	277	1500
39	280	1472
40	283	1444
41	286	1417
42	288	1389
43	290	1362
44	293	1337
45	296	1314
46	298	1291
47	301	1270
48	305	1254
49	309	1238
50	313	1221
51	315	1201
52	318	1182
53	320	1163
54	324	1150
55	327	1135
56	330	1118
57	333	1102
58	335	1087
59	339	1075
60	342	1060
61	345	1046
62	347	1031
63	349	1016
64	353	1007
65	356	993
66	359	981
67	361	968
68	364	955
69	367	944
70	369	932
71	373	922
72	375	911
73	378	899
74	381	889
75	383	879
76	386	868
77	388	857
78	391	847
79	393	836
80	397	828
81	399	818
82	402	809
83	404	799
84	407	790
85	409	780
86	412	773
87	415	764
88	417	756
89	420	747
90	422	738
91	426	731
92	428	723
93	431	715
94	433	707
95	435	699
96	438	691
97	441	685
98	444	678
99	447	671
100	449	663
101	452	656
102	455	650
103	458	643
104	460	636
105	463	629
106	465	622
107	468	615
108	471	609
109	473	602
110	476	596
111	478	589
112	481	583
113	484	577
114	486	571
115	489	565
116	491	559
117	494	552
118	496	546
119	500	541
120	502	535
121	505	530
122	507	524
123	510	518
124	513	513
125	515	507
126	518	501
127	520	496
128	523	490
129	525	485
130	529	480
131	531	475
132	534	470
133	536	464
134	539	459
135	541	454
136	544	449
137	547	443
138	549	438
139	552	433
140	554	428
141	558	424
142	560	419
143	563	414
144	565	409
145	568	404
146	572	401
147	575	396
148	577	391
149	580	386
150	582	382
151	585	377
152	591	374
153	593	370
154	596	365
155	598	360
156	602	356
157	604	352
158	607	347
159	610	343
160	612	338
161	615	334
162	618	330
163	621	325
164	623	321
165	626	316
166	629	312
167	631	308
168	634	304
169	636	299
170	639	295
171	641	290
172	644	286
173	647	282
174	650	278
175	652	274
176	655	270
177	658	266
178	661	262
179	663	258
180	669	255
181	672	251
182	675	247
183	677	243
184	680	239
185	682	234
186	685	230
187	687	226
188	690	222
189	692	218
190	694	214
191	697	210
192	699	206
193	743	214
194	748	211
195	751	206
196	753	202
197	756	198
198	758	194
199	761	190
200	764	186
201	767	182
202	769	178
203	772	174
204	775	170
205	778	166
206	781	162
207	783	158
208	786	154
209	789	150
210	792	146
211	795	142
212	797	138
213	801	134
214	807	131
215	813	127
216	815	124
217	818	120
218	821	116
219	824	112
220	826	108
221	828	104
222	831	100
223	834	96
224	837	93
225	839	89
226	841	85
227	844	81
228	846	77
229	849	73
230	852	70
231	855	66
232	857	62
233	860	58
234	863	55
235	866	51
236	868	47
237	871	43
238	873	40
239	876	36
240	880	32
241	882	29
242	885	25
243	887	21
244	890	18
245	893	14
246	896	10
247	898	7
248	901	3
249	903	0
