iter	Logloss
0	0.6772145092
1	0.6602180635
2	0.6453996428
3	0.6307009331
4	0.6169743003
5	0.6028660878
6	0.5901226739
7	0.5788718091
8	0.5678018237
9	0.5576843722
10	0.5450822494
11	0.5347960972
12	0.524106065
13	0.5155904982
14	0.5079607305
15	0.4982447528
16	0.4908411838
17	0.4833836187
18	0.4764956904
19	0.4700738679
20	0.4644029182
21	0.4580679719
22	0.4524049348
23	0.4469397564
24	0.4414465899
25	0.4357581999
26	0.4310290934
27	0.4256777332
28	0.4203283061
29	0.4155693552
30	0.4116643985
31	0.4069069414
32	0.4028082355
33	0.3989601201
34	0.394698192
35	0.3905113323
36	0.3867052523
37	0.3831630159
38	0.3797220482
39	0.376575721
40	0.3738607112
41	0.37036652
42	0.3667215243
43	0.3628724587
44	0.3594959341
45	0.3569645848
46	0.3544443227
47	0.3519314417
48	0.3493061712
49	0.3464999124
50	0.3441528209
51	0.3412706331
52	0.3388550728
53	0.3362226465
54	0.3334741356
55	0.330901873
56	0.3284059597
57	0.3263242217
58	0.3242100816
59	0.3220852784
60	0.3210483016
61	0.3188445717
62	0.3168105674
63	0.3155123682
64	0.3136630141
65	0.3114744101
66	0.3095815551
67	0.3071303571
68	0.3049887817
69	0.3033623389
70	0.3017348824
71	0.3003572329
72	0.2984998674
73	0.296354537
74	0.2943977278
75	0.2926239381
76	0.2910448907
77	0.2893908934
78	0.2878245107
79	0.2866024748
80	0.2852429347
81	0.2835667378
82	0.2819887826
83	0.2802822924
84	0.2784295404
85	0.2772432084
86	0.275591351
87	0.2739616251
88	0.272537466
89	0.2712749785
90	0.2704415956
91	0.2693483664
92	0.2680110794
93	0.2666409492
94	0.265773175
95	0.2645638604
96	0.2632058989
97	0.2618727251
98	0.2603348209
99	0.2589551799
