iter	Passed	Remaining
0	1	175
1	4	200
2	6	218
3	9	222
4	11	220
5	13	213
6	16	215
7	18	214
8	31	319
9	33	303
10	36	292
11	38	283
12	41	275
13	43	267
14	46	262
15	48	256
16	50	248
17	53	242
18	56	241
19	59	236
20	61	230
21	62	222
22	65	217
23	67	212
24	68	205
25	70	200
26	72	195
27	75	193
28	76	187
29	77	181
30	79	176
31	81	172
32	82	168
33	84	164
34	85	159
35	87	154
36	88	151
37	89	146
38	91	143
39	92	139
40	94	136
41	96	133
42	97	129
43	99	126
44	100	122
45	101	119
46	102	115
47	105	114
48	107	111
49	108	108
50	109	105
51	111	102
52	112	99
53	113	96
54	114	93
55	115	90
56	117	88
57	118	85
58	119	83
59	120	80
60	121	77
61	124	76
62	125	73
63	126	71
64	128	68
65	129	66
66	130	64
67	131	62
68	133	59
69	134	57
70	136	55
71	137	53
72	138	51
73	140	49
74	141	47
75	143	45
76	144	43
77	146	41
78	148	39
79	150	37
80	151	35
81	153	33
82	158	32
83	161	30
84	163	28
85	165	26
86	166	24
87	168	22
88	171	21
89	172	19
90	174	17
91	176	15
92	178	13
93	181	11
94	183	9
95	184	7
96	186	5
97	187	3
98	189	1
99	190	0
